ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category4,category5,category6,category7
maven,org.openrewrite.recipe:rewrite-third-party,tech.picnic.errorprone.refasterrules.tech.picnic.errorprone.refasterrules.AllRefasterRules,All Picnic Refaster rules,Collection of all Refaster rules from Picnic's error-prone-contrib project.,1205,Refasterrules,Errorprone,Picnic,Tech,Refasterrules,Errorprone,Picnic
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_0_0,Quarkus Updates Aggregate 3.0.0,Quarkus update recipes to upgrade your application to 3.0.0.,1,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_1_0,Quarkus Updates Aggregate 3.1.0,Quarkus update recipes to upgrade your application to 3.1.0.,3,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_2_0,Quarkus Updates Aggregate 3.2.0,Quarkus update recipes to upgrade your application to 3.2.0.,5,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_3_0,Quarkus Updates Aggregate 3.3.0,Quarkus update recipes to upgrade your application to 3.3.0.,7,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_5_0,Quarkus Updates Aggregate 3.5.0,Quarkus update recipes to upgrade your application to 3.5.0.,9,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_6_0,Quarkus Updates Aggregate 3.6.0,Quarkus update recipes to upgrade your application to 3.6.0.,11,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_7_0,Quarkus Updates Aggregate 3.7.0,Quarkus update recipes to upgrade your application to 3.7.0.,13,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_8_0,Quarkus Updates Aggregate 3.8.0,Quarkus update recipes to upgrade your application to 3.8.0.,15,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_8_3,Quarkus Updates Aggregate 3.8.3,Quarkus update recipes to upgrade your application to 3.8.3.,17,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_9_0,Quarkus Updates Aggregate 3.9.0,Quarkus update recipes to upgrade your application to 3.9.0.,19,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_10_0,Quarkus Updates Aggregate 3.10.0,Quarkus update recipes to upgrade your application to 3.10.0.,21,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_11_0,Quarkus Updates Aggregate 3.11.0,Quarkus update recipes to upgrade your application to 3.11.0.,23,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_12_0,Quarkus Updates Aggregate 3.12.0,Quarkus update recipes to upgrade your application to 3.12.0.,25,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_13_0,Quarkus Updates Aggregate 3.13.0,Quarkus update recipes to upgrade your application to 3.13.0.,27,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_15_0,Quarkus Updates Aggregate 3.15.0,Quarkus update recipes to upgrade your application to 3.15.0.,29,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_17_0,Quarkus Updates Aggregate 3.17.0,Quarkus update recipes to upgrade your application to 3.17.0.,31,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_18_0,Quarkus Updates Aggregate 3.18.0,Quarkus update recipes to upgrade your application to 3.18.0.,33,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_19_0,Quarkus Updates Aggregate 3.19.0,Quarkus update recipes to upgrade your application to 3.19.0.,35,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_20_1,Quarkus Updates Aggregate 3.20.1,Quarkus update recipes to upgrade your application to 3.20.1.,37,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_21_0,Quarkus Updates Aggregate 3.21.0,Quarkus update recipes to upgrade your application to 3.21.0.,39,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_22_0,Quarkus Updates Aggregate 3.22.0,Quarkus update recipes to upgrade your application to 3.22.0.,41,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_23_0,Quarkus Updates Aggregate 3.23.0,Quarkus update recipes to upgrade your application to 3.23.0.,43,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_24_0,Quarkus Updates Aggregate 3.24.0,Quarkus update recipes to upgrade your application to 3.24.0.,45,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_25_0,Quarkus Updates Aggregate 3.25.0,Quarkus update recipes to upgrade your application to 3.25.0.,47,,,,,,,Quarkus
maven,org.openrewrite.recipe:rewrite-third-party,org.openrewrite.quarkus.MigrateToQuarkus_v3_26_0,Quarkus Updates Aggregate 3.26.0,Quarkus update recipes to upgrade your application to 3.26.0.,49,,,,,,,Quarkus
